"Vacancies","Vacatures"
"Select a region","Kies een regio"
"Open Application","Open sollicitatie"
"Open Application Category","Open sollicitatie categorie"
"The category description is taken for display open application information.","De categorie beschrijving wordt weergegeven als open sollicatie informatie."
"Vacancy Hours","Uren"
"Apply now!","Solliciteer direct"
"Apply for this job","Sollicteren"
"Street","Straat"
"Nr.","Huisnummer"
"birth-date","Geboortedatum"
"Addition","Toevoeging"
"phone","Telefoon"
"phone-mobile","Mobiele telefoon"
"City","Stad"
"One of the required fields is not, or not correclty filled in.","Een of meerdere van onderstaande velden zijn onjuist ingevuld."
"We have no vacancies at this moment","Er zijn geen vacatures gevonden."
"Availabillity","Beschikbaarheid"
"available-from","Beschikbaar van"
"available-days","Dagen beschikbaar"
"sunday","Zondag"
"monday","Maandag"
"tuesday","Dinsdag"
"wednesday","Woensdag"
"thursday","Donderdag"
"friday","Vrijdag"
"saturday","Zaterdag"
"Choose","Maak een keuze"
"I want to apply for","Ik solliciteer naar de functie:"
"Motivation","Vul hieronder uw motivatie in:"
"I want to work at","Ik wil graag werken in de volgende terStal vestiging"
"Personal data","Persoonlijke gegevens"
"Prefix","Voorletters"
"First Name","Voornaam"
"Last Name","Achternaam"
"Trainings","Gevolgde opleidingen"
"training-1","Opleiding 1"
"training-2","Opleiding 2"
"from","van"
"to","tot"
"training-completed","Opleiding afgerond"
"Work experience","Werkervaring"
"apply-for-function","Vacature functie"
"experience-1-company","Bedrijfsnaam 1"
"experience-1-function","Functie 1"
"experience-2-company","Bedrijfsnaam 2"
"experience-2-function","Functie 2"
"training-followed","Opleiding"
"worked-earlier","Werkervaring"
"preferred-store-1","1ste voorkeurplaats"
"preferred-store-2","2e voorkeurplaats"
"preferred-store-3","3e voorkeurplaats"
"experience-1-start","van"
"experience-1-end","tot"
"experience-2-start","van"
"experience-2-end","tot"
"gender","Geslacht"
"initials","Initialen"
"first-name","Voornaam"
"last-name","Achternaam"
"street","Straat"
"number","Nummer"
"number-addition","Toevoeging"
"city","Stad"
"nationality","Nationaliteit"
"Upload photo","Upload foto"
"All regions","Alle regio's"
"Vacancy details","Vacature details"