"English (default)","English (default)"
"French","French"
"Dutch","Dutch"
"Flemish","Flemish"
"Italian","Italian"
"German","German"
"Spanish","Spanish"
"Norwegian","Norwegian"
"Turkish","Turkish"

"United Arab Emirates Dirham","United Arab Emirates Dirham"
"Australian Dollar","Australian Dollar"
"Canadian Dollar","Canadian Dollar"
"Swiss Franc","Swiss Franc"
"Chinese Yuan Renminbi","Chinese Yuan Renminbi"
"Cyprus Pound","Cyprus Pound"
"Czech koruna","Czech koruna"
"Danish Krone","Danish Krone"
"Estonian Kroon","Estonian Kroon"
"Euro","Euro"
"Hong Kong Dollar","Hong Kong Dollar"
"Croatian Kuna","Croatian Kuna"
"US Dollar","US Dollar"

"Ogone Payement","Ogone betaling"
"Ogone Block","Ogone Block"
"You will be redirect to the Ogone Payment Page.","U wordt doorgestuurd naar Ogone."
"Card type:","Betaalmethode :"
"Card Brand:","Creditcardtype :"
"Ogone Transaction Id:","Ogone Transaction Id:"

"Title","Title"
"Enabled","Enabled"
"Test mode","Test mode"
"PSPID","Ogone Identifier"
"Currency","Currency"
"SHA1PASS","Key encrypted exchanges"
"SHA1PASS Test Mode","Key encrypted exchanges - Test Mode"
"Language","Language"
"PAGE_TITLE","Ogone Payment Title Page"
"BGCOLOR","Page Background Color"
"TXTCOLOR","Text Color"
"TBLBGCOLOR","Table Background Color"
"TBLTXTCOLOR","Table Text Color"
"BUTTONBGCOL","Button Background Color"
"BUTTONTXTCOLOR","Button Text Color"
"FONTTYPE","Font Type"
"LOGO","Logo"
"TP","Template Url page"
"accepturl","Payment Success Url redirection page"
"declineurl","Payment Failur Url redirection page" 
"exceptionurl","Error Url redirection page" 
"cancelurl","Canceled Payment Url redirection page"
"homeurl","Home Site Url"
"catalogurl","Catalog Url"
"Payment Methods","Payment Methods"

"AFU refund API user","AFU API gebruiker"
"AFU refund API password","AFU API wachtwoord"

"Ogone Export Credit Memos", "Exporteer naar Ogone"
"File is not accepted by ogone AFU server", "Exportbestand wordt niet geaccepteerd door Ogone AFU server"
"Invalid response from ogone AFU server", "Ogone AFU server gaf een leeg antwoord"
"Creditmemos were sent to Ogone", "De geselecteerde creditnota's zijn verstuurd naar Ogone"
"Sent %s creditmemos to Ogone:%s", "De geselecteerde creditnota's (%s totaal) zijn verstuurd naar Ogone:%s"
"No creditmemos selected for export to Ogone", "Er zijn geen geldige creditnota's geselecteerd voor export naar Ogone"
"Can't send creditmemos to Ogone", "Kan geselecteerde creditnota's niet versturen naar Ogone"

"Refund Requested", "Restitutie aangevraagd"